,mic,ticker,isin,name,status,issuer_name,country_code,currency_code,industry_name,industry_code,super_sector_name,super_sector_code,sector_name,sector_code,sub_sector_name,sub_sector_code,industry_class,domicile,issuer_domicile,distributions,ter,quote_units,asset_class,locality
82,XJSE,NFSH40,ZAE000130431,Newfunds Sharia Top 40,delisted,Newfunds CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.4,cents,equity,ZA
56,XJSE,NFSWIX,ZAE000163754,Newfunds Swix 40 ETF,delisted,Newfunds CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,False,,cents,equity,ZA
80,XJSE,NFTRCI,ZAE000162251,Newfunds Traci 3-M ETF,delisted,Newfunds CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,False,0.35,cents,money,ZA
0,XJSE,PREFEX,ZAE000164570,Prefex Securities,delisted,Prefex Co Limited,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,,cents,equity,ZA
38,XJSE,RMBINF,ZAE000164513,Rmb Inflation X,delisted,Rmb CIS Manco (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,,cents,bond,ZA
40,XJSE,RMBMID,ZAE000176459,Rmb Mid Cap ETF,delisted,Rmb CIS Manco (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,,cents,equity,ZA
39,XJSE,RMBT40,ZAE000164521,Rmb Top 40 ETF,delisted,Rmb CIS Manco (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,,cents,equity,ZA
53,XJSE,STAN40,ZAE000182432,Stanlib Top 40 Fund,delisted,Stanlib Collective Investments (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,,cents,equity,ZA
52,XJSE,STANSX,ZAE000182424,Stanlib Swix 40 Fund,delisted,Stanlib Collective Investments (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,,cents,equity,ZA
54,XJSE,STPROP,ZAE000175576,Stanlib SA Property ETF,delisted,Stanlib Collective Investments (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,,cents,property,ZA
